NCBI_GID	ENSEMBL_GID	Assigned_Gene_symbol	Gene_symbol	Product
106582063	ENSSSAG00000062944	LOC106582063	LOC106582063	M-phase phosphoprotein 8-like
106582064	NA	LOC106582064	LOC106582064	uncharacterized LOC106582064
106582065	ENSSSAG00000062918	LOC106582065	LOC106582065	zinc finger MYM-type protein 2
106582066	ENSSSAG00000074533	si:dkey-82o10.4	si:dkey-82o10.4	uncharacterized LOC106582066
106582068	ENSSSAG00000117390	LOC106582068	LOC106582068	exportin-4
106582069	ENSSSAG00000059660	LOC106582069	LOC106582069	serine/threonine-protein kinase LATS2
106582070	NA	LOC106582070	LOC106582070	uncharacterized LOC106582070
106582071	NA	rab5ab	rab5ab	RAB5A, member RAS oncogene family, b
106582072	NA	LOC106582072	LOC106582072	potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1
106582073	ENSSSAG00000059480	LOC106582073	LOC106582073	phospholipase A1 member A-like
106582074	ENSSSAG00000120117	LOC106582074	LOC106582074	gap junction alpha-3 protein-like
106582075	ENSSSAG00000005076	LOC106582075	LOC106582075	zinc finger protein 385D
106582076	ENSSSAG00000107636	LOC106582076	LOC106582076	popeye domain-containing 2
106582077	NA	LOC106582077	LOC106582077	uncharacterized LOC106582077
106582079	NA	LOC106582079	LOC106582079	uncharacterized LOC106582079
106582084	ENSSSAG00000056255	LOC106582084	LOC106582084	ganglioside-induced differentiation-associated protein 2
106582085	ENSSSAG00000098479	LOC106582085	LOC106582085	terminal nucleotidyltransferase 5C-like
106582087	ENSSSAG00000053717	LOC106582087	LOC106582087	mannosyl-oligosaccharide 1,2-alpha-mannosidase IB
106582088	ENSSSAG00000051648	parp4	parp4	poly (ADP-ribose) polymerase family, member 4
106582089	ENSSSAG00000051581	LOC106582089	LOC106582089	centromere protein J
106582090	ENSSSAG00000051572	LOC106582090	LOC106582090	rho GTPase-activating protein 20-like
106582091	ENSSSAG00000049774	LOC106582091	LOC106582091	radixin
106582092	ENSSSAG00000120415	LOC106582092	LOC106582092	probable ribonuclease ZC3H12C
106582093	ENSSSAG00000048892	glra2	glra2	glycine receptor, alpha 2
106582094	NA	LOC106582094	LOC106582094	ubiquitin-conjugating enzyme E2 E1
106582095	ENSSSAG00000048852	fancb	fancb	FA complementation group B
106582097	ENSSSAG00000048376	LOC106582097	LOC106582097	ankyrin repeat and SOCS box protein 9-like
106582098	ENSSSAG00000048037	LOC106582098	LOC106582098	F-box-like/WD repeat-containing protein TBL1X
106582099	ENSSSAG00000048302	LOC106582099	LOC106582099	G-protein coupled receptor 143-like
106582100	ENSSSAG00000047935	LOC106582100	LOC106582100	anosmin-1
106582102	ENSSSAG00000104908	LOC106582102	LOC106582102	ubiquitin-conjugating enzyme E2 E2
106582103	ENSSSAG00000088471	LOC106582103	LOC106582103	atypical chemokine receptor 3
106582104	ENSSSAG00000044432	LOC106582104	LOC106582104	helix-loop-helix protein 2-like
106582105	ENSSSAG00000044373	LOC106582105	LOC106582105	vang-like protein 1
106582106	ENSSSAG00000103020	LOC106582106	LOC106582106	calsequestrin-2-like
106582107	ENSSSAG00000098423	LOC106582107	LOC106582107	sodium/myo-inositol cotransporter-like
106582108	NA	bub1bb	bub1bb	BUB1 mitotic checkpoint serine/threonine kinase Bb
106582109	ENSSSAG00000042986	LOC106582109	LOC106582109	protein dopey-2-like
106582110	ENSSSAG00000037545	LOC106582110	LOC106582110	nuclear receptor subfamily 1 group D member 2
106582111	ENSSSAG00000042565	LOC106582111	LOC106582111	chromatin assembly factor 1 subunit B
106582112	ENSSSAG00000042541	LOC106582112	LOC106582112	uncharacterized LOC106582112
106582113	ENSSSAG00000042529	LOC106582113	LOC106582113	B-cell CLL/lymphoma 9 protein
106582114	ENSSSAG00000042461	LOC106582114	LOC106582114	gap junction alpha-5 protein-like
106582115	NA	LOC106582115	LOC106582115	nectin-4-like
106582116	ENSSSAG00000041793	LOC106582116	LOC106582116	follistatin-related protein 1
106582117	ENSSSAG00000041778	LOC106582117	LOC106582117	leucine-rich repeat-containing protein 58
106582119	ENSSSAG00000041764	LOC106582119	LOC106582119	probable G-protein coupled receptor 156
106582120	ENSSSAG00000090406	LOC106582120	LOC106582120	glycogen synthase kinase-3 beta
106582121	ENSSSAG00000039954	cfap91	cfap91	cilia and flagella associated protein 91
106582122	ENSSSAG00000039924	LOC106582122	LOC106582122	cell surface glycoprotein CD200 receptor 1-A
106582123	ENSSSAG00000037692	LOC106582123	LOC106582123	retinoic acid receptor beta-like
106582126	ENSSSAG00000065392	LOC106582126	LOC106582126	cholecystokinin receptor
106582127	ENSSSAG00000094336	LOC106582127	LOC106582127	transmembrane protein FAM155A-like
106582128	ENSSSAG00000081926	LOC106582128	LOC106582128	protein ABHD13
106582129	NA	LOC106582129	LOC106582129	unconventional myosin-XVI
106582130	ENSSSAG00000031099	LOC106582130	LOC106582130	insulin receptor substrate 2
106582131	ENSSSAG00000029049	LOC106582131	LOC106582131	collagen alpha-2(IV) chain-like
106582132	ENSSSAG00000027563	naxd	naxd	NAD(P)HX dehydratase
106582133	NA	LOC106582133	LOC106582133	serine/threonine-protein kinase Nek10-like
106582134	ENSSSAG00000027306	LOC106582134	LOC106582134	inhibitor of growth protein 1
106582135	NA	rab20	rab20	RAB20, member RAS oncogene family
106582136	ENSSSAG00000027127	LOC106582136	LOC106582136	ubiquitin-conjugating enzyme E2 A
106582137	ENSSSAG00000026781	LOC106582137	LOC106582137	ankyrin repeat domain-containing protein 10
106582138	ENSSSAG00000024837	LOC106582138	LOC106582138	synaptotagmin-like protein 5
106582139	ENSSSAG00000025431	LOC106582139	LOC106582139	sushi-repeat-containing protein SRPX
106582140	ENSSSAG00000039420	LOC106582140	LOC106582140	septin-7-like
106582141	ENSSSAG00000024728	LOC106582141	LOC106582141	gastrin-releasing peptide receptor-like
106582142	ENSSSAG00000024370	LOC106582142	LOC106582142	phosphatidylinositol N-acetylglucosaminyltransferase subunit A
106582143	NA	LOC106582143	LOC106582143	CD276 antigen
106582144	ENSSSAG00000008701	LOC106582144	LOC106582144	amyloid-beta A4 protein-like
106582145	ENSSSAG00000008402	LOC106582145	LOC106582145	GA-binding protein alpha chain-like
106582147	ENSSSAG00000008370	LOC106582147	LOC106582147	splicing factor U2AF 35 kDa subunit
106582148	ENSSSAG00000008099	LOC106582148	LOC106582148	cystathionine beta-synthase-like protein
106582149	ENSSSAG00000008052	LOC106582149	LOC106582149	tetraspanin-7
106582150	NA	si:dkey-100n23.5	si:dkey-100n23.5	cyclic AMP receptor-like protein A
106582151	ENSSSAG00000042939	LOC106582151	LOC106582151	GATOR complex protein MIOS-like
106582152	NA	LOC106582152	LOC106582152	BCL-6 corepressor
106582153	ENSSSAG00000103406	senp7	senp7	SUMO specific peptidase 7
106582154	ENSSSAG00000007727	LOC106582154	LOC106582154	interphotoreceptor matrix proteoglycan 2
106582155	ENSSSAG00000102597	LOC106582155	LOC106582155	collagen alpha-1(XXVIII) chain-like
106582157	NA	LOC106582157	LOC106582157	E3 SUMO-protein ligase RanBP2
106582158	ENSSSAG00000066073	epha3	epha3	eph receptor A3
106582160	ENSSSAG00000067336	LOC106582160	LOC106582160	ADP-ribosylation factor-like protein 6
106582161	ENSSSAG00000043003	LOC106582161	LOC106582161	glucocorticoid-induced transcript 1 protein-like
106582162	NA	LOC106582162	LOC106582162	gamma-crystallin M2-like
106582163	ENSSSAG00000104581	LOC106582163	LOC106582163	syntaxin-19-like
106582166	ENSSSAG00000054052	LOC106582166	LOC106582166	tumor necrosis factor receptor superfamily member EDAR-like
106582170	NA	LOC106582170	LOC106582170	transcription cofactor vestigial-like protein 3
106582171	ENSSSAG00000054003	LOC106582171	LOC106582171	A-kinase anchor protein 11-like
106582172	ENSSSAG00000007145	LOC106582172	LOC106582172	pleckstrin homology domain-containing family G member 3
106582173	ENSSSAG00000070529	LOC106582173	LOC106582173	tumor necrosis factor ligand superfamily member 11-like
106582177	ENSSSAG00000092836	LOC106582177	LOC106582177	stress-associated endoplasmic reticulum protein 2
106582178	ENSSSAG00000003765	ica1	ica1	islet cell autoantigen 1
106582180	NA	LOC106582180	LOC106582180	BTB/POZ domain-containing protein KCTD4
106582184	ENSSSAG00000043154	LOC106582184	LOC106582184	thrombospondin type-1 domain-containing protein 7A-like
106582185	ENSSSAG00000083267	LOC106582185	LOC106582185	GRIP and coiled-coil domain-containing protein 2-like
106582188	ENSSSAG00000055286	LOC106582188	LOC106582188	ephrin type-A receptor 6-like
106582194	ENSSSAG00000043547	LOC106582194	LOC106582194	transmembrane protein 106B
106582195	NA	LOC106582195	LOC106582195	acetylserotonin O-methyltransferase-like
106582197	NA	LOC106582197	LOC106582197	immunoglobulin superfamily member 10-like
106582198	NA	LOC106582198	LOC106582198	guanylate-binding protein 1-like
106582203	ENSSSAG00000049188	LOC106582203	LOC106582203	receptor tyrosine-protein kinase erbB-4
106582204	ENSSSAG00000054049	LOC106582204	LOC106582204	5-hydroxytryptamine receptor 1F-like
106582206	ENSSSAG00000091455	LOC106582206	LOC106582206	5-hydroxytryptamine receptor 2A-like
106582209	ENSSSAG00000055214	LOC106582209	LOC106582209	high-affinity choline transporter 1-like
106582211	ENSSSAG00000100466	LOC106582211	LOC106582211	von Willebrand factor D and EGF domain-containing protein
106582212	ENSSSAG00000048090	LOC106582212	LOC106582212	LIM and senescent cell antigen-like-containing domain protein 1
106582213	NA	LOC106582213	LOC106582213	E3 SUMO-protein ligase RanBP2
106582214	ENSSSAG00000088318	LOC106582214	LOC106582214	ADP-ribosylation factor-like protein 4A
106582215	ENSSSAG00000121963	LOC106582215	LOC106582215	translationally-controlled tumor protein homolog
106582217	ENSSSAG00000088727	LOC106582217	LOC106582217	TSC22 domain family protein 1-like
106582223	ENSSSAG00000090069	LOC106582223	LOC106582223	charged multivesicular body protein 2b
106582226	NA	LOC106582226	LOC106582226	E3 ubiquitin-protein ligase SH3RF3-like
106582227	ENSSSAG00000112081	akap17a	akap17a	A kinase (PRKA) anchor protein 17A
106582229	ENSSSAG00000095034	LOC106582229	LOC106582229	serine-aspartate repeat-containing protein I-like
106582230	ENSSSAG00000054120	arsh	arsh	arylsulfatase H
106582231	ENSSSAG00000043715	LOC106582231	LOC106582231	ETS translocation variant 1
106582233	NA	LOC106582233	LOC106582233	serine/arginine repetitive matrix protein 1
106582234	ENSSSAG00000054194	mab21l3	mab21l3	mab-21-like 3
106582235	ENSSSAG00000054237	LOC106582235	LOC106582235	WD repeat and FYVE domain-containing protein 2
106582237	ENSSSAG00000055458	LOC106582237	LOC106582237	guanylate-binding protein 1
106582238	NA	LOC106582238	LOC106582238	guanylate-binding protein 1-like
106582240	ENSSSAG00000055546	LOC106582240	LOC106582240	guanylate-binding protein 1
106582242	ENSSSAG00000121328	LOC106582242	LOC106582242	guanylate-binding protein 1
106582244	NA	LOC106582244	LOC106582244	leucine-rich repeat and calponin homology domain-containing protein 1-like
106582245	ENSSSAG00000055813	LOC106582245	LOC106582245	succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial
106582246	ENSSSAG00000056404	LOC106582246	LOC106582246	integral membrane protein 2B
106582247	ENSSSAG00000056416	LOC106582247	LOC106582247	serine/threonine-protein kinase Nek5
106582248	ENSSSAG00000057073	LOC106582248	LOC106582248	TBC1 domain family member 8-like
106582249	ENSSSAG00000056451	LOC106582249	LOC106582249	plastin-2
106582250	ENSSSAG00000056969	LOC106582250	LOC106582250	CCR4-NOT transcription complex subunit 11
106582251	ENSSSAG00000058071	LOC106582251	LOC106582251	phosducin-like protein 3
106582252	ENSSSAG00000057006	LOC106582252	LOC106582252	60S ribosomal protein L31
106582253	ENSSSAG00000116479	LOC106582253	LOC106582253	neuromedin-U-like
106582255	ENSSSAG00000106103	LOC106582255	LOC106582255	LON peptidase N-terminal domain and RING finger protein 2-like
106582256	ENSSSAG00000059162	LOC106582256	LOC106582256	mitogen-activated protein kinase kinase kinase kinase 4
106582257	ENSSSAG00000044213	LOC106582257	LOC106582257	diacylglycerol kinase beta
106582258	ENSSSAG00000077028	LOC106582258	LOC106582258	interleukin-1 receptor type 1
106582260	ENSSSAG00000077054	LOC106582260	LOC106582260	dnaJ homolog subfamily C member 10
106582261	ENSSSAG00000106562	LOC106582261	LOC106582261	secreted frizzled-related protein 3-like
106582262	ENSSSAG00000077458	LOC106582262	LOC106582262	nck-associated protein 1
106582264	ENSSSAG00000078734	LOC106582264	LOC106582264	calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A
106582266	ENSSSAG00000078792	itprid2	itprid2	ITPR interacting domain containing 2
106582267	ENSSSAG00000099263	LOC106582267	LOC106582267	neurogenic differentiation factor 1
106582268	ENSSSAG00000078804	cerkl	cerkl	ceramide kinase-like
106582271	ENSSSAG00000078849	LOC106582271	LOC106582271	pre-mRNA-splicing factor CWC22 homolog
106582272	ENSSSAG00000078993	znf385b	znf385b	zinc finger protein 385B
106582273	ENSSSAG00000063637	LOC106582273	LOC106582273	SEC14 domain and spectrin repeat-containing protein 1
106582274	ENSSSAG00000079047	LOC106582274	LOC106582274	coiled-coil domain-containing protein 141
106582275	ENSSSAG00000119643	LOC106582275	LOC106582275	titin
106582276	ENSSSAG00000053190	LOC106582276	LOC106582276	alkylglycerol monooxygenase-like
106582277	NA	LOC106582277	LOC106582277	uncharacterized LOC106582277
106582279	ENSSSAG00000048286	lmln	lmln	leishmanolysin-like (metallopeptidase M8 family)
106582280	NA	LOC106582280	LOC106582280	TGF-beta receptor type-2-like
106582281	ENSSSAG00000048529	LOC106582281	LOC106582281	sorting nexin-4
106582282	ENSSSAG00000048762	LOC106582282	LOC106582282	zinc finger protein 148-like
106582283	ENSSSAG00000048774	LOC106582283	LOC106582283	protein HEG-like
106582284	ENSSSAG00000109362	LOC106582284	LOC106582284	homeobox protein MOX-2-like
106582285	ENSSSAG00000048794	LOC106582285	LOC106582285	KAT8 regulatory NSL complex subunit 1-like
106582286	NA	LOC106582286	LOC106582286	microtubule-associated protein 2-like
106582287	NA	LOC106582287	LOC106582287	D-ribitol-5-phosphate cytidylyltransferase-like
106582289	NA	LOC106582289	LOC106582289	proline-rich receptor-like protein kinase PERK2
106582291	ENSSSAG00000053373	LOC106582291	LOC106582291	sclerostin domain-containing protein 1-like
106582292	ENSSSAG00000058344	LOC106582292	LOC106582292	zinc finger protein Helios-like
106582293	ENSSSAG00000058962	LOC106582293	LOC106582293	von Willebrand factor C domain containing 2 like
106582296	ENSSSAG00000059086	LOC106582296	LOC106582296	GDP-fucose protein O-fucosyltransferase 2-like
106582297	ENSSSAG00000059003	LOC106582297	LOC106582297	BRCA1-associated RING domain protein 1-like
106582298	ENSSSAG00000053389	LOC106582298	LOC106582298	ankyrin repeat and MYND domain-containing protein 2-like
106582299	ENSSSAG00000059799	LOC106582299	LOC106582299	unconventional myosin-Ib-like
106582300	ENSSSAG00000064197	LOC106582300	LOC106582300	basic leucine zipper and W2 domain-containing protein 1-A-like
106582303	ENSSSAG00000080302	LOC106582303	LOC106582303	inhibin beta B chain-like
106582304	ENSSSAG00000053464	LOC106582304	LOC106582304	BAG cochaperone 6
106582306	ENSSSAG00000079696	stam2	stam2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2
106582309	ENSSSAG00000079159	LOC106582309	LOC106582309	uncharacterized LOC106582309
106582310	ENSSSAG00000058473	LOC106582310	LOC106582310	gamma-crystallin M2-like
106582311	ENSSSAG00000075489	LOC106582311	LOC106582311	gamma-crystallin M3-like
106582312	ENSSSAG00000081450	tubgcp5	tubgcp5	tubulin, gamma complex associated protein 5
106582313	ENSSSAG00000111108	LOC106582313	LOC106582313	raftlin-2-like
106582314	ENSSSAG00000081444	LOC106582314	LOC106582314	MOB-like protein phocein
106582315	ENSSSAG00000081427	LOC106582315	LOC106582315	coenzyme Q-binding protein COQ10 homolog B, mitochondrial
106582316	ENSSSAG00000081383	LOC106582316	LOC106582316	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B
106582317	NA	apom	apom	apolipoprotein M
106582318	ENSSSAG00000100402	LOC106582318	LOC106582318	uncharacterized protein C2orf80-like
106582319	NA	LOC106582319	LOC106582319	gamma-crystallin M1-like
106582320	ENSSSAG00000053851	LOC106582320	LOC106582320	gamma-aminobutyric acid type B receptor subunit 1-like
106582321	ENSSSAG00000109366	LOC106582321	LOC106582321	gamma-crystallin S-1-like
106582322	ENSSSAG00000114573	LOC106582322	LOC106582322	gamma-crystallin M2-like
106582323	NA	LOC106582323	LOC106582323	gamma-crystallin M3
106582324	NA	LOC106582324	LOC106582324	gamma-crystallin M3-like
106582325	NA	LOC106582325	LOC106582325	gamma-crystallin M3-like
106582326	ENSSSAG00000119690	LOC106582326	LOC106582326	gamma-crystallin M2-like
106582327	NA	LOC106582327	LOC106582327	gamma-crystallin M3-like
106582328	NA	LOC106582328	LOC106582328	gamma-crystallin M3-like
106582329	NA	LOC106582329	LOC106582329	gamma-crystallin M3-like
106582330	NA	LOC106582330	LOC106582330	gamma-crystallin M3-like
106582332	ENSSSAG00000081047	LOC106582332	LOC106582332	gamma-crystallin M2-like
106582333	NA	LOC106582333	LOC106582333	gamma-crystallin 1-like
106582334	ENSSSAG00000080856	LOC106582334	LOC106582334	diacylglycerol kinase beta-like
106582335	ENSSSAG00000058529	LOC106582335	LOC106582335	SH3 domain-binding protein 5-like
106582336	ENSSSAG00000080749	LOC106582336	LOC106582336	ETS translocation variant 5
106582337	ENSSSAG00000080528	LOC106582337	LOC106582337	integrin beta-5-like
106582339	ENSSSAG00000080507	LOC106582339	LOC106582339	tumor necrosis factor-inducible gene 6 protein-like
106582340	ENSSSAG00000100306	xgb	xgb	x globin
106582341	ENSSSAG00000110922	mgat1a	mgat1a	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase a
106582342	ENSSSAG00000080473	LOC106582342	LOC106582342	telomere-associated protein RIF1-like
106582343	NA	rnf183	rnf183	ring finger protein 183
106582344	ENSSSAG00000117625	LOC106582344	LOC106582344	ADP-ribosylation factor-like protein 5A
106582345	ENSSSAG00000058938	dhx16	dhx16	DEAH (Asp-Glu-Ala-His) box polypeptide 16
106582346	ENSSSAG00000079752	LOC106582346	LOC106582346	voltage-dependent L-type calcium channel subunit beta-4
106582347	ENSSSAG00000079692	hacd2	hacd2	3-hydroxyacyl-CoA dehydratase 2
106582348	ENSSSAG00000079557	LOC106582348	LOC106582348	adenylate cyclase type 5
106582349	ENSSSAG00000070315	sec22a	sec22a	SEC22 homolog A, vesicle trafficking protein
106582350	ENSSSAG00000079274	LOC106582350	LOC106582350	semaphorin-5B
106582352	ENSSSAG00000079180	LOC106582352	LOC106582352	solute carrier family 15 member 2
106582353	ENSSSAG00000067899	LOC106582353	LOC106582353	nuclear matrix constituent protein 1-like
106582354	ENSSSAG00000079248	hspbap1	hspbap1	hspb associated protein 1
106582355	ENSSSAG00000079252	slc49a4	slc49a4	solute carrier family 49 member 4
106582356	ENSSSAG00000079164	LOC106582356	LOC106582356	ELL-associated factor 2-like
106582357	ENSSSAG00000085312	LOC106582357	LOC106582357	translin
106582358	ENSSSAG00000112678	LOC106582358	LOC106582358	CLIP-associating protein 1-B
106582360	ENSSSAG00000065361	LOC106582360	LOC106582360	zinc finger protein GLI2-like
106582365	ENSSSAG00000116518	LOC106582365	LOC106582365	TBCC domain-containing protein 1
106582366	ENSSSAG00000067914	LOC106582366	LOC106582366	zona pellucida sperm-binding protein 3
106582367	ENSSSAG00000111994	LOC106582367	LOC106582367	dnaJ homolog subfamily B member 11
106582368	ENSSSAG00000084227	LOC106582368	LOC106582368	ras-related protein Rab-5B-like
106582371	ENSSSAG00000053203	LOC106582371	LOC106582371	DNA-binding protein SATB2-like
106582372	ENSSSAG00000053340	LOC106582372	LOC106582372	inactive phospholipase C-like protein 1
106582373	NA	LOC106582373	LOC106582373	pleckstrin homology domain-containing family M member 3-like
106582375	ENSSSAG00000053939	LOC106582375	LOC106582375	Krueppel-like factor 7
106582376	ENSSSAG00000048877	LOC106582376	LOC106582376	isocitrate dehydrogenase [NADP] cytoplasmic
106582378	ENSSSAG00000120506	LOC106582378	LOC106582378	frizzled-5-like
106582379	ENSSSAG00000053909	LOC106582379	LOC106582379	cyclin-Y-like protein 1
106582380	ENSSSAG00000112465	LOC106582380	LOC106582380	cyclic AMP-responsive element-binding protein 1-like
106582383	ENSSSAG00000057384	LOC106582383	LOC106582383	rab3 GTPase-activating protein catalytic subunit
106582384	NA	LOC106582384	LOC106582384	formin-like protein 18
106582385	NA	LOC106582385	LOC106582385	apoptosis-associated speck-like protein containing a CARD
106582386	NA	nmi	nmi	N-myc (and STAT) interactor
106582388	ENSSSAG00000105234	LOC106582388	LOC106582388	uncharacterized LOC106582388
106582389	ENSSSAG00000053963	LOC106582389	LOC106582389	NEDD8-conjugating enzyme UBE2F-like
106582390	ENSSSAG00000117033	srp14	srp14	signal recognition particle 14
106582391	ENSSSAG00000082319	ramp1	ramp1	receptor activity modifying protein 1
106582392	ENSSSAG00000053983	LOC106582392	LOC106582392	band 4.1-like protein 5
106582393	ENSSSAG00000054717	LOC106582393	LOC106582393	tyrosine-protein phosphatase non-receptor type 4
106582394	ENSSSAG00000083373	mrasa	mrasa	muscle RAS oncogene homolog a
106582395	ENSSSAG00000056014	LOC106582395	LOC106582395	parathyroid hormone 2 receptor
106582396	ENSSSAG00000056075	LOC106582396	LOC106582396	transmembrane protein 163-like
106582397	ENSSSAG00000067956	LOC106582397	LOC106582397	protein Aster-A
106582398	ENSSSAG00000056085	acmsd	acmsd	aminocarboxymuconate semialdehyde decarboxylase
106582399	ENSSSAG00000056134	ccnt2a	ccnt2a	cyclin T2a
106582400	ENSSSAG00000057435	LOC106582400	LOC106582400	R3H domain-containing protein 1
106582401	ENSSSAG00000057802	LOC106582401	LOC106582401	protein mono-ADP-ribosyltransferase PARP14
106582403	ENSSSAG00000057846	LOC106582403	LOC106582403	rho-related GTP-binding protein RhoE
106582404	ENSSSAG00000057861	LOC106582404	LOC106582404	rho-related GTP-binding protein RhoE
106582405	ENSSSAG00000057873	LOC106582405	LOC106582405	cobalamin trafficking protein CblD-like
106582406	ENSSSAG00000057885	LOC106582406	LOC106582406	ly6/PLAUR domain-containing protein 6
106582408	NA	LOC106582408	LOC106582408	kinesin heavy chain-like
106582410	ENSSSAG00000058221	LOC106582410	LOC106582410	activin receptor type-2A-like
106582411	NA	LOC106582411	LOC106582411	methyl-CpG-binding domain protein 5-like
106582412	ENSSSAG00000057918	LOC106582412	LOC106582412	enhancer of polycomb homolog 2
106582414	NA	LOC106582414	LOC106582414	uncharacterized LOC106582414
106582415	ENSSSAG00000114515	LOC106582415	LOC106582415	reticulon-4 receptor-like 2
106582417	ENSSSAG00000063282	LOC106582417	LOC106582417	zinc finger E-box-binding homeobox 2-like
106582419	ENSSSAG00000114450	LOC106582419	LOC106582419	ADP-ribosylation factor-like protein 4C
106582420	ENSSSAG00000063499	LOC106582420	LOC106582420	SH3 domain-binding protein 4
106582421	ENSSSAG00000087043	LOC106582421	LOC106582421	sodium channel subunit beta-1
106582422	ENSSSAG00000063572	LOC106582422	LOC106582422	contactin-associated protein-like 5
106582427	NA	LOC106582427	LOC106582427	2-oxoglutarate receptor 1-like
106582428	NA	LOC106582428	LOC106582428	vegetative cell wall protein gp1
106582430	ENSSSAG00000068476	LOC106582430	LOC106582430	claudin-10
106582431	NA	LOC106582431	LOC106582431	trace amine-associated receptor 13c-like
106582432	ENSSSAG00000110345	LOC106582432	LOC106582432	trace amine-associated receptor 13c-like
106582433	ENSSSAG00000064864	LOC106582433	LOC106582433	contactin-associated protein-like 5
106582434	ENSSSAG00000067928	LOC106582434	LOC106582434	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial
106582435	ENSSSAG00000067965	LOC106582435	LOC106582435	aryl hydrocarbon receptor
106582436	ENSSSAG00000068245	LOC106582436	LOC106582436	major histocompatibility complex class I-related gene protein
106582437	ENSSSAG00000068245	LOC106582437	LOC106582437	major histocompatibility complex class I-related gene protein-like
106582438	ENSSSAG00000099256	LOC106582438	LOC106582438	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma
106582439	ENSSSAG00000068272	LOC106582439	LOC106582439	pyridoxal kinase
106582440	ENSSSAG00000081467	LOC106582440	LOC106582440	glypican-6
106582441	ENSSSAG00000068460	LOC106582441	LOC106582441	L-dopachrome tautomerase
106582442	ENSSSAG00000119187	LOC106582442	LOC106582442	transcription factor Sox-21-B-like
106582443	NA	LOC106582443	LOC106582443	uncharacterized LOC106582443
106582444	ENSSSAG00000068473	LOC106582444	LOC106582444	claudin-10
106582445	ENSSSAG00000081069	LOC106582445	LOC106582445	heparan-sulfate 6-O-sulfotransferase 3-B-like
106582447	ENSSSAG00000068491	LOC106582447	LOC106582447	muscleblind-like protein 2a
106582448	ENSSSAG00000113659	LOC106582448	LOC106582448	ras-related protein Rap-2a
106582449	NA	LOC106582449	LOC106582449	trace amine-associated receptor 13c-like
106582452	ENSSSAG00000086641	LOC106582452	LOC106582452	FERM, ARHGEF and pleckstrin domain-containing protein 1-like
106582455	ENSSSAG00000050282	LOC106582455	LOC106582455	dedicator of cytokinesis protein 9
106582456	ENSSSAG00000093574	si:dkey-24p1.1	si:dkey-24p1.1	uncharacterized LOC106582456
106582457	ENSSSAG00000066879	LOC106582457	LOC106582457	serine/threonine-protein kinase 24
106582458	ENSSSAG00000067506	LOC106582458	LOC106582458	INO80 complex subunit D-like
106582459	ENSSSAG00000067511	LOC106582459	LOC106582459	chemerin-like receptor 2
106582460	ENSSSAG00000067526	LOC106582460	LOC106582460	disintegrin and metalloproteinase domain-containing protein 23-like
106582462	ENSSSAG00000067744	LOC106582462	LOC106582462	caspase-8-like
106582463	ENSSSAG00000067754	LOC106582463	LOC106582463	interferon-inducible double-stranded RNA-dependent protein kinase activator A homolog
106582464	ENSSSAG00000067836	LOC106582464	LOC106582464	oxysterol-binding protein-related protein 6-like
106582465	ENSSSAG00000068100	LOC106582465	LOC106582465	sialic acid-binding Ig-like lectin 5
106582466	ENSSSAG00000070764	rbm45	rbm45	RNA binding motif protein 45
106582467	ENSSSAG00000070772	LOC106582467	LOC106582467	cytochrome c
106582468	ENSSSAG00000087460	LOC106582468	LOC106582468	alkyldihydroxyacetonephosphate synthase, peroxisomal-like
106582469	ENSSSAG00000068045	LOC106582469	LOC106582469	myelin-associated glycoprotein-like
106582471	ENSSSAG00000072882	LOC106582471	LOC106582471	heterogeneous nuclear ribonucleoprotein A3-like
106582473	ENSSSAG00000073027	fhip1b	fhip1b	FHF complex subunit HOOK interacting protein 1B
106582477	NA	LOC106582477	LOC106582477	trace amine-associated receptor 8c-like
106582479	ENSSSAG00000108321	gdf3	gdf3	growth differentiation factor 3
106582481	NA	LOC106582481	LOC106582481	oligodendrocyte transcription factor 1-like
106582482	ENSSSAG00000095079	LOC106582482	LOC106582482	trace amine-associated receptor 13c-like
106582484	ENSSSAG00000073039	LOC106582484	LOC106582484	trafficking protein particle complex subunit 10
106582485	ENSSSAG00000073023	LOC106582485	LOC106582485	uncharacterized LOC106582485
106582486	ENSSSAG00000087337	LOC106582486	LOC106582486	centrosomal protein of 170 kDa protein B-like
106582487	ENSSSAG00000073022	ankrd50l	ankrd50l	ankyrin repeat domain 50-like
106582488	ENSSSAG00000073013	gatd3	gatd3	glutamine amidotransferase class 1 domain containing 3
106582489	ENSSSAG00000099997	LOC106582489	LOC106582489	oligodendrocyte transcription factor 2-like
106582491	ENSSSAG00000072981	LOC106582491	LOC106582491	cyclic AMP-dependent transcription factor ATF-2-like
106582493	ENSSSAG00000068093	LOC106582493	LOC106582493	sialic acid-binding Ig-like lectin 5
